icao_code,name,type,iso_country,iso_region,municipality,latitude_deg,longitude_deg
LRAR,Arad International Airport,medium_airport,RO,RO-AR,Arad,46.176136,21.264322
LRBC,Bacău George Enescu International  Airport,large_airport,RO,RO-BC,Bacău,46.5219,26.910299
LRBM,Maramureș International Airport,medium_airport,RO,RO-MM,Tăuții-Măgherăuș,47.658444,23.464445
LRBS,Bucharest Băneasa Aurel Vlaicu International Airport,large_airport,RO,RO-B,Bucharest,44.503133,26.102944
LRBV,Brașov-Ghimbav International Airport,large_airport,RO,RO-BV,Brașov (Ghimbav),45.70558,25.522871
LRCK,Mihail Kogălniceanu International Airport,large_airport,RO,RO-CT,Constanța,44.362202,28.4883
LRCL,Avram Iancu Cluj International Airport,large_airport,RO,RO-CJ,Cluj-Napoca,46.786042,23.685733
LRCS,Caransebeş Airport,medium_airport,RO,RO-CS,Caransebeş,45.420142,22.252507
LRCV,Craiova International Airport,large_airport,RO,RO-DJ,Craiova,44.3181,23.888599
LRIA,Iaşi International Airport,large_airport,RO,RO-IS,Iaşi,47.179633,27.621431
LROD,Oradea International Airport,large_airport,RO,RO-BH,Oradea,47.025299,21.9025
LROP,Bucharest Henri Coandă International Airport,large_airport,RO,RO-IF,Otopeni,44.571792,26.103285
LRSB,Sibiu International Airport,large_airport,RO,RO-SB,Sibiu,45.785841,24.086666
LRSM,Satu Mare International Airport,medium_airport,RO,RO-SM,Satu Mare,47.7033,22.8857
LRSV,Suceava Ștefan cel Mare International Airport,large_airport,RO,RO-SV,Suceava,47.6875,26.354099
LRTC,Tulcea Danube Delta Airport,medium_airport,RO,RO-TL,Mihail Kogălniceanu,45.0625,28.7143
LRTM,Târgu Mureş Transilvania International Airport,medium_airport,RO,RO-MS,Recea,46.467701,24.4125
LRTR,Timișoara Traian Vuia International Airport,large_airport,RO,RO-TM,Timişoara,45.809898,21.3379
LRTZ,Tuzla Airport,small_airport,RO,RO-CT,Tuzla,43.984493,28.606225
LTAB,Güvercinlik Airport,small_airport,TR,TR-06,Ankara,39.935001,32.740799
LTAC,Esenboğa International Airport,large_airport,TR,TR-06,Ankara,40.128101,32.995098
LTAF,Adana Şakirpaşa Airport,large_airport,TR,TR-01,Seyhan,36.982201,35.280399
LTAI,Antalya International Airport,large_airport,TR,TR-07,Antalya,36.898701,30.800501
LTAJ,Gaziantep Oğuzeli International Airport,large_airport,TR,TR-27,Gaziantep,36.947201,37.478699
LTAL,Kastamonu Airport,medium_airport,TR,TR-37,Kastamonu,41.314201,33.795799
LTAN,Konya Airport,large_airport,TR,TR-42,Konya,37.979,32.561901
LTAO,Malatya Tulga Airport,small_airport,TR,TR-44,Malatya,38.353699,38.253899
LTAP,Amasya Merzifon Airport,small_airport,TR,TR-05,Amasya,40.829399,35.521999
LTAR,Sivas Nuri Demirağ Airport,small_airport,TR,TR-58,Sivas,39.813801,36.9035
LTAS,Zonguldak Çaycuma Airport,medium_airport,TR,TR-67,Zonguldak,41.506401,32.0886
LTAT,Malatya Erhaç Airport,medium_airport,TR,TR-44,Malatya,38.4352989197,38.0909996033
LTAU,Kayseri Erkilet International Airport,large_airport,TR,TR-38,Kayseri,38.770401,35.495399
LTAW,Tokat Airport,medium_airport,TR,TR-60,Tokat,40.32472,36.39056
LTAY,Çardak Airport,medium_airport,TR,TR-20,Denizli,37.7855987549,29.7012996674
LTAZ,Nevşehir Kapadokya Airport,large_airport,TR,TR-50,Nevşehir,38.7719,34.5345
LTBA,İstanbul Atatürk Airport,large_airport,TR,TR-34,Istanbul,40.971913,28.823714
LTBD,Aydın Çıldır Airport,small_airport,TR,TR-09,Aydın,37.815389,27.887566
LTBE,Bursa Yunuseli Airport,small_airport,TR,TR-16,Bursa,40.233243,29.005583
LTBF,Balıkesir Airport,medium_airport,TR,TR-10,Balıkesir,39.619301,27.926001
LTBG,Bandırma Airport,medium_airport,TR,TR-10,Bandırma,40.318001,27.977699
LTBH,Çanakkale Airport,medium_airport,TR,TR-17,Çanakkale,40.1376991272,26.4267997742
LTBJ,Adnan Menderes International Airport,large_airport,TR,TR-35,Gaziemir,38.2924,27.157
LTBO,Uşak Airport,medium_airport,TR,TR-64,Uşak,38.681499,29.471701
LTBQ,Cengiz Topel Airport,medium_airport,TR,TR-41,Kartepe,40.735001,30.0833
LTBR,Bursa Yenişehir Airport,medium_airport,TR,TR-16,Yenişehir,40.255199,29.562599
LTBS,Dalaman International Airport,large_airport,TR,TR-48,Dalaman,36.7131,28.7925
LTBU,Tekirdağ Çorlu Airport,medium_airport,TR,TR-59,Çorlu,41.138199,27.9191
LTBV,Bodrum-Imsık Airport,small_airport,TR,TR-48,Bodrum,37.140099,27.669701
LTBY,Hasan Polatkan Airport,large_airport,TR,TR-26,Eskişehir,39.811644,30.519268
LTBZ,Zafer Airport,small_airport,TR,TR-43,Altıntaş,39.113079,30.128111
LTCA,Elazığ Airport,medium_airport,TR,TR-23,Elazığ,38.597974,39.28348
LTCB,Ordu–Giresun Airport,medium_airport,TR,TR-52,Ordu,40.966872,38.085995
LTCC,Diyarbakır Airport,medium_airport,TR,TR-21,Diyarbakır,37.893902,40.201
LTCD,Erzincan Airport,medium_airport,TR,TR-24,Erzincan,39.7102012634,39.527000427199994
LTCE,Erzurum International Airport,medium_airport,TR,TR-25,Erzurum,39.956501,41.1702
LTCF,Kars Airport,medium_airport,TR,TR-36,Kars,40.562198638916016,43.1150016784668
LTCG,Trabzon International Airport,medium_airport,TR,TR-61,Trabzon,40.995098,39.7897
LTCI,Van Ferit Melen Airport,medium_airport,TR,TR-65,Van,38.46820068359375,43.332298278808594
LTCJ,Batman Airport,medium_airport,TR,TR-72,Batman,37.929001,41.1166
LTCK,Muş Airport,medium_airport,TR,TR-49,Muş,38.747798919677734,41.66120147705078
LTCL,Siirt Airport,medium_airport,TR,TR-56,Siirt,37.97890090942383,41.84040069580078
LTCM,Sinop Airport,medium_airport,TR,TR-57,Sinop,42.018313,35.071774
LTCN,Kahramanmaraş Airport,medium_airport,TR,TR-46,Kahramanmaraş,37.5388259888,36.9535217285
LTCO,Ağrı Airport,medium_airport,TR,TR-04,Ağrı,39.655642,43.025742
LTCP,Adıyaman Airport,medium_airport,TR,TR-02,Adıyaman,37.7314,38.468899
LTCR,Mardin Airport,medium_airport,TR,TR-47,Mardin,37.2233009338,40.6316986084
LTCS,Şanlıurfa GAP Airport,large_airport,TR,TR-63,Şanlıurfa,37.445663,38.895592
LTCT,Iğdır Airport,medium_airport,TR,TR-76,Iğdır,39.976627,43.876648
LTCU,Bingöl Airport,small_airport,TR,TR-12,Bingöl,38.860131,40.594489
LTCV,Şırnak Şerafettin Elçi Airport,medium_airport,TR,TR-73,Şırnak,37.3647,42.0582
LTCW,Hakkari Yüksekova Airport,medium_airport,TR,TR-30,Hakkari,37.5497,44.2381
LTDA,Hatay Airport,medium_airport,TR,TR-31,Antakya,36.362778,36.282223
