nut3_code,pps,pps_per_inhabitant
MT00,24952.92,43800.0
MT001,23880.28,45200.0
MT002,1072.69,26200.0
MTZ,32.37,
MTZZ,32.37,
MTZZZ,32.37,
NL,962550.49,53500.0
NL1,73384.42,41500.0
NL11,28166.42,46800.0
NL112,2128.94,47300.0
NL114,4164.24,30200.0
NL115,21873.24,52200.0
NL12,25854.01,39100.0
NL126,8352.36,43700.0
NL127,12345.56,37500.0
NL128,5156.09,36300.0
NL13,19363.99,38300.0
NL131,7536.33,38300.0
NL132,5989.32,35000.0
NL133,5838.34,42600.0
NL2,172567.43,45400.0
NL21,55285.56,46400.0
NL211,19265.57,49500.0
NL212,6907.59,42900.0
NL213,29112.4,45300.0
NL22,98519.87,45700.0
NL221,35059.67,48400.0
NL224,11644.2,45500.0
NL225,15713.83,38600.0
NL226,36102.16,47100.0
NL23,18762.0,41300.0
NL230,18762.0,41300.0
NL3,515773.06,59700.0
NL32,208661.95,69900.0
NL321,14302.5,36900.0
NL323,7465.62,37000.0
NL325,6374.4,35600.0
NL327,13592.54,50900.0
NL328,10022.65,39000.0
NL32A,9020.29,38100.0
NL32B,147883.95,101600.0
NL34,17687.98,45100.0
NL341,5043.33,47600.0
NL342,12644.64,44200.0
NL35,91122.09,64900.0
NL350,91122.09,64900.0
NL36,198301.04,51500.0
NL361,47726.29,51900.0
NL362,14496.48,58900.0
NL363,19655.43,44000.0
NL364,19409.86,50800.0
NL365,13446.34,38400.0
NL366,83566.64,55400.0
NL4,197137.2,52000.0
NL41,147171.12,55400.0
NL411,33377.92,51100.0
NL414,54122.67,66600.0
NL415,22792.47,44700.0
NL416,36878.06,54300.0
NL42,49966.08,44100.0
NL421,14213.64,48800.0
NL422,10691.52,44000.0
NL423,25060.91,41800.0
NLZ,3688.38,
NLZZ,3688.38,
NLZZZ,3688.38,
PL,1175485.36,31300.0
PL2,230535.88,29900.0
PL21,95611.78,28100.0
PL22,134924.46,31400.0
PL4,181842.73,29700.0
PL41,115772.8,32900.0
PL42,41604.16,25700.0
PL43,24465.78,25000.0
PL5,120199.12,31400.0
PL51,97254.24,33300.0
PL52,22944.87,25300.0
PL6,149213.14,26500.0
PL61,49484.35,25300.0
PL62,29084.56,22200.0
PL63,70644.22,29900.0
PL7,97730.34,27800.0
PL71,70518.33,29600.0
PL72,27212.01,24000.0
PL8,115229.05,22900.0
PL81,43446.68,22100.0
PL82,45278.71,22900.0
PL84,26503.3,24300.0
