icao_code,name,type,iso_country,iso_region,municipality,latitude_deg,longitude_deg
EGOW,RAF Woodvale,small_airport,GB,GB-ENG,"Southport, Sefton",53.5816,-3.05552
EGPA,Kirkwall Airport,medium_airport,GB,GB-SCT,"Kirkwall, Orkney Islands",58.957903,-2.905077
EGPB,Sumburgh Airport,medium_airport,GB,GB-SCT,"Lerwick, Shetland",59.878899,-1.29556
EGPC,Wick John O'Groats Airport,medium_airport,GB,GB-SCT,Wick,58.4589,-3.09306
EGPD,Aberdeen International Airport,large_airport,GB,GB-SCT,Aberdeen,57.2019,-2.19778
EGPE,Inverness Airport,medium_airport,GB,GB-SCT,Inverness,57.5425,-4.0475
EGPF,Glasgow Airport,large_airport,GB,GB-SCT,Glasgow,55.871899,-4.43306
EGPH,Edinburgh Airport,large_airport,GB,GB-SCT,Edinburgh,55.950145,-3.372288
EGPI,Islay Airport,medium_airport,GB,GB-SCT,"Isle of Islay, Argyll and Bute",55.682708,-6.257525
EGPK,Glasgow Prestwick Airport,large_airport,GB,GB-SCT,"Prestwick, South Ayrshire",55.501499,-4.577182
EGPL,Benbecula Airport,medium_airport,GB,GB-SCT,Balivanich,57.481098,-7.36278
EGPN,Dundee Airport,medium_airport,GB,GB-SCT,Dundee,56.452499,-3.02583
EGPO,Stornoway Airport,medium_airport,GB,GB-SCT,"Stornoway, Western Isles",58.215599,-6.33111
EGPR,Barra Airport,medium_airport,GB,GB-SCT,Eoligarry,57.0228,-7.44306
