from_id,to_id,weight,distance
"Beauvais, FR","Bologna, IT",8,884.08
"Beauvais, FR","Barcelona, ES",6,907.0499999999998
"Beauvais, FR","Madrid, ES",6,1101.11
"Beauvais, FR","Rome, IT",9,1167.1
"Beauvais, FR","Copenhagen, DK",3,987.07
"Beauvais, FR","Stockholm, SE",2,1506.72
"Beauvais, FR","Nowy Dwór Mazowiecki, PL",4,1336.58
"Beauvais, FR","Birmingham, West Midlands, GB",5,429.26000000000005
"Beauvais, FR","Manchester, Greater Manchester, GB",6,529.32
"Beauvais, FR","Wrocław, PL",3,1063.51
"Beauvais, FR","Alicante, ES",5,1260.39
"Beauvais, FR","Vienna, AT",7,1068.04
"Beja, PT","Geneva, CH",1,1466.91
"Belfast, GB","London, GB",165,530.49
"Belfast, GB","Amsterdam, NL",13,759.81
"Belfast, GB","Bristol, GB",28,424.87
"Belfast, GB","Nottingham, Leicestershire, GB",37,369.44999999999993
"Belfast, GB","Liverpool, GB",39,254.15
"Belfast, GB","Manchester, Greater Manchester, GB",71,284.7
"Belfast, GB","Málaga, ES",11,2000.87
"Belfast, GB","Edinburgh, GB",58,223.36999999999998
"Belfast, GB","Balice, PL",5,1814.1799999999998
"Belfast, GB","Newcastle upon Tyne, Tyne and Wear, GB",21,282.33
"Belfast, GB","Alicante, ES",16,1865.1600000000003
"Belfast, GB","Geneva, CH",9,1266.63
"Belfast, GB","Faro, PT",9,1964.96
"Belfast, GB","Paris, FR",12,820.25
"Belfast, GB","Budapest, HU",3,1916.01
"Belfast, GB","Birmingham, West Midlands, GB",70,373.43
"Belfast, GB","Glasgow, GB",34,171.03
"Belfast, GB","Roskilde, DK",1,1157.43
"Belfast, GB","Luton, Luton, GB",32,486.52
"Belfast, GB","Leeds, West Yorkshire, GB",25,297.37
"Belfast, GB","Southampton, GB",14,516.92
"Belfast, GB","Cardiff, GB",5,403.07
"Belfast, GB","Aberdeen, GB",3,372.3500000000001
"Belfast, GB","Inverness, GB",3,345.89000000000004
"Bergen, NO","Stavanger, NO",94,159.29
"Bergen, NO","Sandefjord(Torp), NO",29,307.98
"Bergen, NO","Zaventem, BE",2,1045.34
"Bergen, NO","Oslo (Gardermoen), NO",126,324.71
"Bergen, NO","Frankfurt am Main, DE",11,1160.78
"Bergen, NO","Stockholm, SE",3,713.54
"Bergen, NO","Kristiansand(Kjevik), NO",31,283.74
"Bergen, NO","London, GB",14,1029.54
"Bergen, NO","Alicante, ES",4,2480.89
"Bergen, NO","Amsterdam, NL",25,888.31
"Bergen, NO","Trondheim, NO",53,461.45000000000005
"Bergen, NO","Gdańsk, PL",2,1028.69
"Bergen, NO","Copenhagen, DK",32,679.5
"Bergen, NO","Ålesund, NO",2,256.51
"Bergen, NO","Göteborg, SE",5,485.5299999999999
"Bergen, NO","Aberdeen, GB",11,548.27
"Bergen, NO","Manchester, Greater Manchester, GB",2,895.6
"Bergen, NO","Roskilde, DK",1,663.01
"Bergen, NO","Helsinki (Vantaa), FI",9,1083.55
"Bergen, NO","Rotterdam, NL",1,928.22
"Bergen, NO","Balice, PL",4,1458.1
"Berlin, DE","Paris, FR",90,859.28
"Berlin, DE","Marignane, Bouches-du-Rhône, FR",3,1167.27
"Berlin, DE","Munich, DE",65,461.96
"Berlin, DE","Palma de Mallorca, ES",28,1645.61
"Berlin, DE","Saarbrücken, DE",6,568.89
"Berlin, DE","Orio al Serio (BG), IT",13,793.64
"Berlin, DE","Vienna, AT",40,520.53
"Berlin, DE","London, GB",114,932.04
"Berlin, DE","Valencia, ES",4,1787.41
"Berlin, DE","Zaventem, BE",12,642.78
"Berlin, DE","Copenhagen, DK",31,366.26
